Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
53.17,0.0,0.0,0.0,0.0,0.0,0.0
53.202,0.0,0.0,0.0,0.0,0.0,0.0
53.238,0.0,0.0,0.0,0.0,0.0,0.0
53.27,0.0,0.0,0.0,0.0,0.0,0.0
53.302,0.0,0.0,0.0,0.0,0.0,0.0
53.338,0.0,0.0,0.0,0.0,0.0,0.0
53.37,0.0,0.0,0.0,0.0,0.0,0.0
53.402,0.0,0.0,0.0,0.0,0.0,0.0
53.438,0.0,0.0,0.0,0.0,0.0,0.0
53.462,0.0,0.0,0.0,0.0,0.0,0.0
53.502,0.0,0.0,0.0,0.0,0.0,0.0
53.534,0.0,0.0,0.0,0.0,0.0,0.0
53.566,0.0,0.0,0.0,0.0,0.0,0.0
53.602,0.0,0.0,0.0,0.0,0.0,0.0
53.638,0.0,0.0,0.0,0.0,0.0,0.0
53.666,0.0,0.0,0.0,0.0,0.0,0.0
53.702,0.0,0.0,0.0,0.0,0.0,0.0
53.734,0.0,0.0,0.0,0.0,0.0,0.0
53.77,0.0,0.0,0.0,0.0,0.0,0.0
53.802,0.0,0.0,0.0,0.0,0.0,0.0
53.834,0.0,0.0,0.0,0.0,0.0,0.0
53.87,0.0,0.0,0.0,0.0,0.0,0.0
53.902,0.0,0.0,0.0,0.0,0.0,0.0
53.938,0.0,0.0,0.0,0.0,0.0,0.0
53.97,0.0,0.0,0.0,0.0,0.0,0.0
54.002,0.0,0.0,0.0,0.0,0.0,0.0
54.038,0.0,0.0,0.0,0.0,0.0,0.0
54.07,0.0,0.0,0.0,0.0,0.0,0.0
54.102,0.0,0.0,0.0,0.0,0.0,0.0
54.134,0.0,0.0,0.0,0.0,0.0,0.0
54.17,0.0,0.0,0.0,0.0,0.0,0.0
54.198,0.0,0.0,0.0,0.0,0.0,0.0
54.238,0.0,0.0,0.0,0.0,0.0,0.0
54.27,0.0,0.0,0.0,0.0,0.0,0.0
54.302,0.0,0.0,0.0,0.0,0.0,0.0
54.338,0.0,0.0,0.0,0.0,0.0,0.0
54.37,0.0,0.0,0.0,0.0,0.0,0.0
54.402,0.0,0.0,0.0,0.0,0.0,0.0
54.434,0.0,0.0,0.0,0.0,0.0,0.0
54.47,0.0,0.0,0.0,0.0,0.0,0.0
54.498,0.0,0.0,0.0,0.0,0.0,0.0
54.534,0.0,0.0,0.0,0.0,0.0,0.0
54.57,0.0,0.0,0.0,0.0,0.0,0.0
54.602,0.0,0.0,0.0,0.0,0.0,0.0
54.638,0.0,0.0,0.0,0.0,0.0,0.0
54.67,0.0,0.0,0.0,0.0,0.0,0.0
54.702,0.0,0.0,0.0,0.0,0.0,0.0
54.738,0.0,0.0,0.0,0.0,0.0,0.0
54.77,0.0,0.0,0.0,0.0,0.0,0.0
54.802,0.0,0.0,0.0,0.0,0.0,0.0
54.83,0.0,0.0,0.0,0.0,0.0,0.0
54.87,0.0,0.0,0.0,0.0,0.0,0.0
54.902,0.0,0.0,0.0,0.0,0.0,0.0
54.938,0.0,0.0,0.0,0.0,0.0,0.0
54.97,0.0,0.0,0.0,0.0,0.0,0.0
55.002,0.0,0.0,0.0,0.0,0.0,0.0
55.038,0.0,0.0,0.0,0.0,0.0,0.0
55.07,0.0,0.0,0.0,0.0,0.0,0.0
55.102,0.0,0.0,0.0,0.0,0.0,0.0
55.138,0.0,0.0,0.0,0.0,0.0,0.0
55.17,0.0,0.0,0.0,0.0,0.0,0.0
