Time,time,xPos,yPos,yaw,xVel,yVel,zAngVel
61.65,61.62200164794922,-0.025542665272951126,0.029541444033384323,-0.005831705406308174,-0.0020145559683442116,0.00047464558156207204,-6.569705146830529e-05
61.65,61.645999908447266,-0.025574561208486557,0.029553519561886787,-0.00583038292825222,-0.002058182144537568,0.0002564496826380491,0.0002543003356549889
61.65,61.650001525878906,-0.025574686005711555,0.02955358661711216,-0.005839972756803036,-0.0008409285801462829,0.0006775300716981292,-0.0016265969024971128
61.654,61.65800094604492,-0.025575455278158188,0.029561175033450127,-0.005843012593686581,-0.0008970434428192675,0.00047844028449617326,-0.002932799980044365
61.71,61.66600036621094,-0.025575457140803337,0.029561175033450127,-0.005844482686370611,-0.0008723681676201522,0.000516186177264899,-0.0018437195103615522
61.71,61.70600128173828,-0.025577807798981667,0.02958396077156067,-0.005846818443387747,-0.0011222688481211662,0.0005614002584479749,-0.00030857851379550993
61.71,61.709999084472656,-0.025592852383852005,0.029582340270280838,-0.005841659381985664,-0.0021333079785108566,0.0005481319385580719,0.001092995167709887
61.714,61.7140007019043,-0.025592966005206108,0.029582399874925613,-0.005857096519321203,-0.000997426570393145,0.00047139349044300616,-0.0026055225171148777
61.718,61.71799850463867,-0.025593603029847145,0.02958991751074791,-0.005851208698004484,-0.0020184931345283985,0.0007753772661089897,0.00042215935536660254
61.754,61.72600173950195,-0.025593603029847145,0.02958991564810276,-0.005853824317455292,-0.001998396124690771,0.0003022498858626932,0.0006013085367158055
61.754,61.75,-0.025608805939555168,0.029588380828499794,-0.005841630045324564,-0.0021644423250108957,0.0004352715041022748,0.0011562738800421357
61.754,61.75400161743164,-0.025608927011489868,0.029588444158434868,-0.005850200075656176,-0.0009281808161176741,0.00045847814180888236,-0.0013818470761179924
61.758,61.762001037597656,-0.025609688833355904,0.029596028849482536,-0.005845305975526571,-0.0008435125346295536,0.00023132431670092046,-0.0006507130456157029
61.77,61.76599884033203,-0.025609564036130905,0.029595961794257164,-0.005840251222252846,-0.0019001058535650373,0.00026391333085484803,0.0008433237671852112
61.77,61.77000045776367,-0.0256096962839365,0.029596032574772835,-0.005838822573423386,-0.000985107384622097,0.0004978980869054794,-0.0008890900644473732
61.77,61.77399826049805,-0.025609571486711502,0.029595965519547462,-0.005833546165376902,-0.0020064720883965492,0.0005673898267559707,0.0008733634022064507
61.81,61.78200149536133,-0.0256095752120018,0.02959596924483776,-0.005835394375026226,-0.0020038792863488197,0.0005890796310268342,-3.0309556677821092e-05
61.81,61.810001373291016,-0.025627214461565018,0.02961726114153862,-0.005828379187732935,-0.0010572649771347642,0.00047620799159631133,-0.001216637552715838
61.814,61.81399917602539,-0.025627076625823975,0.0296171884983778,-0.005832116585224867,-0.0019835280254483223,0.0005197236896492541,-0.0001241965510416776
61.818,61.81800079345703,-0.025627197697758675,0.029617253690958023,-0.005830822512507439,-0.001058952766470611,0.0006107195513322949,-0.0011819208739325404
61.858,61.821998596191406,-0.02562706544995308,0.029617182910442352,-0.005834634881466627,-0.001975092338398099,0.0006194210145622492,-0.00012827895989175886
61.858,61.854000091552734,-0.02564380317926407,0.029630819335579872,-0.005825971718877554,-0.00196456559933722,0.00060723174829036,0.0005655006389133632
61.858,61.858001708984375,-0.025644704699516296,0.02963847666978836,-0.005830792244523764,-0.0011324102524667978,0.0008343510562554002,-0.002045180881395936
61.862,61.86199951171875,-0.0256445724517107,0.02963840588927269,-0.005833717063069344,-0.0020284606143832207,0.0005278020398691297,-0.0001857768656918779
61.87,61.86600112915039,-0.025644700974225998,0.02963847480714321,-0.0058391885831952095,-0.0012040865840390325,0.0006053911056369543,-0.0023597388062626123
61.91,61.87799835205078,-0.02566053904592991,0.029644453898072243,-0.005828164052218199,-0.00224048993550241,-9.844436863204464e-05,0.001077702036127448
61.91,61.90999984741211,-0.025677241384983063,0.02965807355940342,-0.005847189109772444,-0.0019204148557037115,0.0006377670215442777,-0.00010814615234266967
61.914,61.91400146484375,-0.02567736618220806,0.029658138751983643,-0.005836400669068098,-0.0010608446318656206,0.0002504565636627376,-0.00013805925846099854
61.918,61.917999267578125,-0.02567802369594574,0.029665667563676834,-0.005833013448864222,-0.0019068745896220207,0.0006019699503667653,0.0014447408029809594
61.962,61.95800018310547,-0.025693979114294052,0.02967170812189579,-0.005843744613230228,-0.001912573934532702,0.0006031999364495277,0.0005837058997713029
61.962,61.96200180053711,-0.0256941094994545,0.02967177890241146,-0.005858116317540407,-0.0009935586713254452,0.0006176278693601489,-0.0030787084251642227
61.97,61.970001220703125,-0.02569488249719143,0.029679367318749428,-0.005860085133463144,-0.0009524800698272884,0.00043374262168072164,-0.0019290250493213534
61.97,61.9739990234375,-0.02569475956261158,0.029679302126169205,-0.005854798946529627,-0.0019696776289492846,0.00038708484498783946,0.0006192730506882071
61.978,61.97800064086914,-0.02569488435983658,0.029679369181394577,-0.005853134673088789,-0.0010276323882862926,0.0003199847415089607,-0.0008645987836644053
61.982,61.981998443603516,-0.02569475956261158,0.029679302126169205,-0.005856488365679979,-0.0019651928450912237,0.0005544789601117373,-1.014012241284945e-06
62.042,61.9900016784668,-0.02570994198322296,0.029677756130695343,-0.005840560887008905,-0.0021491535007953644,0.00046230776933953166,0.0011677528964355588
62.042,62.03799819946289,-0.02574264444410801,0.029697438701987267,-0.005838296376168728,-0.002108825370669365,0.0003565978549886495,0.00018575989815872163
62.042,62.04199981689453,-0.02574276365339756,0.02969750203192234,-0.0058479611761868,-0.0008755350136198103,0.0005863556289114058,-0.0016699308762326837
62.046,62.04600143432617,-0.025743393227458,0.029705015942454338,-0.005842437967658043,-0.0019266048911958933,0.0008405004045926034,0.0006000776193104684
62.046,62.04999923706055,-0.02574351243674755,0.029705079272389412,-0.005850646644830704,-0.0009075596462935209,0.00037253997288644314,-0.001957912929356098
62.11,62.05799865722656,-0.025743501260876656,0.029705073684453964,-0.005834526848047972,-0.0010820183670148253,0.00022411695681512356,7.631545304320753e-05
62.11,62.10599899291992,-0.025761011987924576,0.02972629852592945,-0.005856563802808523,-0.0009332658373750746,0.00023272803809959441,-0.0018409822368994355
62.11,62.11000061035156,-0.025760887190699577,0.029726233333349228,-0.005851181223988533,-0.001960260095074773,0.0003065284399781376,0.0006468315259553492
62.114,62.11399841308594,-0.025761015713214874,0.0297263003885746,-0.005840696860104799,-0.0011194465914741158,0.0002577535924501717,7.459711196133867e-05
62.114,62.11800003051758,-0.025760894641280174,0.029726235195994377,-0.005843929015100002,-0.0020572252105921507,0.0005118980188854039,0.0002886955626308918
62.17,62.125999450683594,-0.025776080787181854,0.029724691063165665,-0.005827642511576414,-0.002233426785096526,0.0004624958382919431,0.0011806754628196359
62.17,62.16600036621094,-0.025777623057365417,0.0297398678958416,-0.005845560692250729,-0.0020658504217863083,0.0005905702710151672,-0.0003555766015779227
62.17,62.16999816894531,-0.025777747854590416,0.02973993495106697,-0.005844017490744591,-0.0011140679707750678,0.0004574627964757383,-0.0011589917121455073
62.178,62.17399978637695,-0.0257928054779768,0.029738320037722588,-0.005838956218212843,-0.0021384968422353268,0.0005072757485322654,0.0008356376201845706
62.178,62.178001403808594,-0.02579369582235813,0.02974597178399563,-0.005847080610692501,-0.0008977281395345926,0.0007481122738681734,-0.0013522515073418617
62.21,62.18600082397461,-0.025793708860874176,0.029745979234576225,-0.0058501483872532845,-0.0009301876998506486,0.0005420440575107932,-0.0018625147640705109
62.21,62.209999084472656,-0.02579524926841259,0.02976115420460701,-0.005855752155184746,-0.0008975902455858886,0.0002208942751167342,-0.0018300504889339209
62.214,62.21799850463867,-0.025795260444283485,0.029761161655187607,-0.005842409562319517,-0.0009391497005708516,0.0005291773704811931,-0.0006737977964803576
62.27,62.22600173950195,-0.025795264169573784,0.029761163517832756,-0.005844298750162125,-0.0009482229361310601,0.0006358243990689516,-0.0011544222943484783
62.27,62.26599884033203,-0.025812767446041107,0.029782384634017944,-0.005845183040946722,-0.0011442777467891574,0.0006242414237931371,-0.00021311428281478584
